Fish,Scan,Scanner,Scan date,Voxelsize [μm],Source voltage [kV],Source current [μA],Filter,Exposure time [ms],Frame averaging,360° scan,Rotation step [°],Projection size,Scan duration [s],Stacked scans,Total scan duration [s],Ring removal correction,Beam hardening correction,Gray value mapping
103778_Yssichromis_cf_supramacrops,jaw.rec,SkyScan 1272,2021-02-10 12:49:28,5.000014,60.0,166.0,Al 0.25mm,1500,3.0,False,0.2,"(2452, 1640)",7037.0,1,7037.0,14.0,10.0,0.261067
103778_Yssichromis_cf_supramacrops,pharynx.rec,SkyScan 1272,2021-02-10 14:48:26,5.000014,60.0,166.0,Al 0.25mm,1500,3.0,False,0.2,"(2452, 1640)",7031.0,1,7031.0,14.0,10.0,0.224892
103778_Yssichromis_cf_supramacrops,rec_pj,SkyScan 2214,2022-03-28 11:33:32,6.500724,70.0,140.0,False,587,,False,0.1,"(3072, 1944)",5629.0,1,5629.0,,,0.116813
103908_Enterochromis_I_new_invasive,head.rec,SkyScan 2214,2022-03-14 14:06:20,5.999331,70.0,136.0,False,999,,False,0.1,"(3072, 1944)",7489.0,1,7489.0,,,0.160684
103908_Enterochromis_I_new_invasive,jaw.rec,SkyScan 1272,2020-11-03 12:34:39,5.000014,70.0,142.0,Al 0.5mm,1162,3.0,False,0.2,"(2452, 1640)",5736.0,1,5736.0,7.0,,0.11886
103908_Enterochromis_I_new_invasive,stack.rec,SkyScan 1272,2020-11-13 14:29:52,5.000014,70.0,142.0,Al 0.5mm,1162,3.0,False,0.2,"(2452, 1640)",5747.0,1,5747.0,14.0,,0.238643
103926_Enterochromis_I_new_invasive,rec,SkyScan 1272,2021-11-25 14:58:01,4.000007,60.0,166.0,Al 0.25mm,1783,3.0,False,0.1,"(4904, 3280)",17695.0,1,17695.0,13.0,,0.324195
104016_Enterochromis_I_cinctus_St_E,head.rec,SkyScan 2214,2022-01-27 13:32:59,13.001449,70.0,137.0,False,740,,False,0.2,"(1536, 972)",2359.0,1,2359.0,,,0.16521
104016_Enterochromis_I_cinctus_St_E,jaw.rec,SkyScan 1272,2021-02-04 11:21:23,5.000014,60.0,166.0,Al 0.25mm,1878,2.0,False,0.2,"(2452, 1640)",6666.0,1,6666.0,19.0,,0.249223
104016_Enterochromis_I_cinctus_St_E,pharynx.rec,SkyScan 1272,2021-02-04 13:30:11,5.000014,60.0,166.0,Al 0.25mm,1500,3.0,False,0.2,"(2452, 1640)",7097.0,1,7097.0,19.0,,0.225172
104021_Enterochromis_I_antleter_blue_St_E,head.rec,SkyScan 2214,2022-03-25 11:15:38,15.000176,70.0,140.0,False,653,,False,0.1,"(3072, 1944)",6014.0,1,6014.0,,,0.149857
104021_Enterochromis_I_antleter_blue_St_E,rec,SkyScan 2214,2021-05-18 10:15:42,5.962976,70.0,140.0,False,1021,,False,0.2,"(3070, 1944)",3712.0,1,3712.0,,,0.130596
104021_Enterochromis_I_antleter_blue_St_E,rec_oj,SkyScan 2214,2022-03-25 13:00:37,6.500724,70.0,140.0,False,653,,False,0.1,"(3072, 1944)",5961.0,1,5961.0,,,0.173298
104042_Paralabidochromis_rockkribensis_plagiodon,rec,SkyScan 2214,2021-05-04 09:59:24,7.75345,70.0,125.0,False,1413,,False,0.2,"(3070, 1944)",4620.0,1,4620.0,,,0.12518
104061_Labrochromis_sp_stone,head.rec,SkyScan 2214,2022-02-18 10:03:36,29.000594,70.0,140.0,False,782,,False,0.2,"(1536, 972)",2396.0,1,2396.0,,,0.132264
104061_Labrochromis_sp_stone,head.rec_pressure_loss,SkyScan 2214,2022-02-17 11:42:34,30.000352,70.0,140.0,False,782,,False,0.2,"(1536, 972)",2478.0,1,2478.0,,,0.072747
104061_Labrochromis_sp_stone,rec,SkyScan 2214,2021-07-15 15:23:55,8.945585,70.0,140.0,False,747,,False,0.2,"(3072, 1944)",3162.0,1,3162.0,,,0.109517
104061_Labrochromis_sp_stone,rec_rescan,SkyScan 2214,2021-08-20 11:06:31,9.999875,70.0,140.0,False,834,,False,0.2,"(3072, 1944)",3355.0,1,3355.0,,,0.106901
10448_Ptyochromis_deepwater_rock_sheller,head.rec_head,SkyScan 2214,2021-10-11 11:28:22,30.001079,70.0,140.0,False,873,,False,0.2,"(3072, 1944)",3456.0,1,3456.0,,,0.084901
10448_Ptyochromis_deepwater_rock_sheller,head2.rec,SkyScan 2214,2022-02-10 10:19:44,29.000594,70.0,140.0,False,904,,False,0.2,"(1536, 972)",2715.0,1,2715.0,,,0.106219
10448_Ptyochromis_deepwater_rock_sheller,rec,SkyScan 2214,2021-06-10 13:24:31,9.065253,70.0,140.0,False,576,,False,0.2,"(3070, 1944)",2756.0,1,2756.0,,,0.133328
10448_Ptyochromis_deepwater_rock_sheller,rec_rereconstruct,SkyScan 2214,2021-06-10 13:24:31,9.065253,70.0,140.0,False,576,,False,0.2,"(3070, 1944)",2756.0,1,2756.0,,,0.12714
10448_Ptyochromis_deepwater_rock_sheller,rec_rescan,SkyScan 2214,2021-10-11 12:46:18,9.000117,70.0,140.0,False,873,,False,0.15,"(3072, 1944)",4595.0,1,4595.0,,,0.137774
104621_double_stripe_group_tanaos,head.rec,SkyScan 2214,2022-02-11 13:26:19,11.498783,70.0,140.0,False,985,,False,0.2,"(1536, 972)",3067.0,1,3067.0,,,0.142658
